Contract Address,User Address,Invested Value,Distributed tokens value,Status
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x74232f8fa0c511c4a119c18583a8be8a13b30d84,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6f93a5fa5763779114bdc1bac32eace0cf8a6d95,0.39815,139.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x66ec86208f6646217bf41ffb5be5f7a9898800d7,1,350,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x4b3e8343c10a841410aca62763cade7bf872520c,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x7a3fe3d1891ceecb165c7fdb36b8713cda635c5c,0.527975,184.79125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x4992b5eb87cf4b3fda6a1eb50910533297e85933,1.2,420,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xee79b3e9f30c39f6531375280373a18be41a8edf,0.1,35,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xca4025f63cec0b2b19f251bee7f90b6e79de7ff0,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd75a3b6b3301e1c2be0d05f0b67c5459b5547218,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x991df4803ae6697286e1d70d5a28a02189cb31da,0.18,63,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x7e1f56dd40052872620e91c5aa518bafe81c977f,0.33,115.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x66cf58556dcaebbdbda1c8d1aa32a0b87c3a7b04,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xe401eeeb31cd89c0c799b332b182c24db7bbd667,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x2848c0260581133973343523ed2041ceba8b986e,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x03eb2005a8029f3e69ff3d43c72335f83ff5f7f7,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xa70e6fe4488104be32b9b657f5be7b68afc17f9a,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xdda73dd604805c16db2750b94c5ad844ed6cfbca,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xfeed87cceb7f26c350d110f2fcd8aa185ba851e6,0.152,53.199999999999996,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x013ed2e1a3c09578c499a40b98b53c771508fbc0,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xa54a9e29c0b791a4e9b005eaeda7fdff8d54250d,0.79,276.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xcf08b1906459e85442c4723139cb67753277a9ff,0.4,140,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd883c20c47d432aa433f0f787855d999f017b13d,0.27,94.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x32b2e0076ef16342415b24f3dffb08ce2263421d,1.2,420,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xb13e51b376ec37c56f16c86400e7c5ff214a424d,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xa4bb0669b8d5a4b4836eff558edb9f0b7343584e,0.3,105,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xb842457fa57ea6f4fc8588c56e2e60232e12cbc1,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x2de073bd1728f6674a2569edff12756bff04b0b7,3.15,1102.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6d75151ee70f409175ca223da90be8f55703dbf5,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x87030c4361961802ccbbbf795e120baaa4e34c2f,1,350,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x0373e68e6607cd8402c97a213f3922cd828199ab,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x933af32d9beb6472a802f6b42731e1e4a33dbabe,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x92def31aa8ee93905c59ebf9b5a2077afe7a62e9,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xbd9c45731542e167c920f857b65319b203d8cf40,0.7,244.99999999999997,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd44f9d4d23fb22d79b03c25b4d52cee6cf22f5e1,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x069805e7f0bc649a65f4a46d37437835dced8a10,0.79,276.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x178c9d7b3edb5cd443f5370271724a2143a24635,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xfd3aef79ec69d3fbeda438d34f6132cb607a769a,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x011f4fab145210f8bde8ec77cb360cea0949e262,0.1,35,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xf6738a5cec1b108720ef4702e03d30fb4738b65b,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xf9c8278bbc45a3df2b18e0d575c8fcef5d55c793,0.47,164.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x98a5a5a57cc17cccc4a9b57d11714ffdc4e8b19c,2.1,735,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xbef1fefe4bb6dda516e9af3a3f793d182cf053bc,0.5,175,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xc511dbda3bb5e1b5e111bbe5eeff634b5e0839fc,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xfb9a6bd2737dabf8974a30df338f6335c2ce5df8,0.1,35,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x491f5335588215b9b25e1a0728ff6335c07be007,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x756d55ec588c891b30b108006188963cfa223e02,0.4,140,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x65bf95e2e3a73a939f2f1edb5009446d4ff62841,0.32,112,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x50a354f9edaa453d59ffe1f88096b3b8225e7afe,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xc99b9d4bbb924e3dec23db4a65cadd250845e8db,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x68008407e377766bebddc2a646bf80814a009a3b,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6f7c7a9597119372711e317a6f3caf945b3731d7,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd85be9d7be77150e8f0bc288c8b2b3f3711db42a,0.15,52.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd0647e5147af0e6bdaaa9301d966d279cf3a07b2,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x8ef4428b6f255359ff3b0ccae4e54c576c660173,0.75,262.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x80f66ee67efee1e10b5fe77a69259c05628717cd,0.55,192.50000000000003,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xee6b71b0b9e8a2e7a30f3f966a41c8b414d5e2cc,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x0430948bff738a2dabca294a4e0fc55dec34feb8,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x538d87cdaec077f532fd01e91cb661ae06ee38ff,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xce5e2d2b53e6290840c8574c2e4c1840730e1423,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xe2b7060237e4d0328a2d0daf1cc1e8d52854aebf,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x042d320faf0a7dd4797db0f435c95f2912ffe1f3,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x857435707697d48b09ad3b4917a8cb242323bdab,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x0f6759d49520b38020efac5b92396c41c2abb159,0.79,276.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xfb164e66f1bed756b95621e3c4d3548a37348461,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x683855a22a63554d44f2b04e1838655f1b3c75aa,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x1a962786b032eb88e135d6e6f3ee7737344fca58,0.75,262.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x42238feb30ddb3991c57ae74af2f05f26cf41139,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x7af5c6629fa76297a1326bedffadb0398c9740ec,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xf05faaef5eb862c9643eb306d0c40895fe56789d,0.31,108.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xec9c763ff85217a78ace73e851e84661e41460d7,0.35,122.49999999999999,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xaf0395771050dc50351731d26fdee56b9c9a87af,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xba1239b4d7afaed8427155173cfde766ae63b7ec,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x4b98495d3efad4b0c556bcf626137a52265d6f33,0.79,276.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xe5cc506392d526377df9f3d84a72f1534f9485ab,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x82f5759a5c9d48e96864f988b2187150a9e89f56,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6b0a3aadfaae47cd8d56ec9861944748b4528263,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xeb2f8d7591e381d57440edf1470614b5fb55beb5,3,1050,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x3950ce6eba2d0fd5c96d9880d9c87f7d150851a9,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x2685770f47d9c9ef2d7770adb9bd19a902fa14f9,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x2e08c7f59e303b04b71ec8335fdefe5f980783fd,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xece2d511956d8998ad350f0ecfc9d7a42d863c7d,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xdf7b81a7f3199d7d82f99007bd76061ff94ff5a6,0.3,105,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x234dc2857f025f12cb2d4ff6c4c0f4aa561dc2d3,0.47,164.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x16c4ea0c1752fda7724b0334c9a2419e94f12eed,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xc3fa4f16ca336c8fbaa3713ebbfa137fac3a68a6,2,700,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6c4e5ce0ff38415125e725f7f1c8c8a16fe569e7,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x4e53313f575acb89788e455299fe0686cde941e5,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x793d8947416722b8f359c4ead515962e12c7d594,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x2a7c11bf863f4627495ad867887fb3ecc965f9ee,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x73bb78424ace1b888927e70d998c26dad6b6a100,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x30cbac3d9fa24c27e890aea6f537823db103de88,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x8ce494f17e476a7e4388ee4455d4fb03e2b83e91,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6ac84b779dc4dd683f9c321f5abd5ebb07f2a9ad,0.349,122.14999999999999,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xb812b80cd630df0d5ec0ae0c093a12afec5c2e65,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xbf4a7a8f27ef381aa0452bfd5bf4a8397bcff820,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xb78204d57f1cae78a4057c7a97c0888a8211ddac,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xbf5edc13303c729813514405d7dffaef9a688809,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xf306e3caa05b1879af4916b15040f04a52e1f216,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x7e13e8355c63e4f91b06032bb5a3daa7da171a20,2,700,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x4fe1d80ae770288f13b2bc4f0736145fde810fbc,0.74,259,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xb3e2322b7507f47a55019c2eaaa1e954be99fd9c,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xff471c27f813d9fcb9b8775f0b591315b57dc85d,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x5d5d965f52721de9238dadf6366b42bfd7d721e5,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xdc234e2c2408632dc3a23fe0365b27048bd9c5eb,2.3000000000000003,805.0000000000001,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xbf2d3b52d8c4fa09e57960d83e71e4e2c879b0f4,0.4,140,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x649d8205027da9cc13dae7d1bedd0cdac836acb2,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x1ad06acfff27af0ae68da305d17c8773fff0ba4a,0.2,70,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x24b0d654496018ace0d714d6455e9f8cc886de4c,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6d84403f376dabd83448d3e70508eba689a01b56,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x4cedf18ff6e67817d37b889ec256e7c3a9ae32d6,0.1,35,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xa52163098688879486d617a589a78cd14d492d2a,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x657f8da8e08e03b7c448276d791e35e0ad98cac4,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x81926f557bee9b88265595a6c20e100bcf58e94b,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xc045150106341ea4bf71cf7bdef3b26defb81182,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xe685a229032263513037b8b2ac908733130c5cab,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd4e4e792dad7ce57898ea0834f998d2eefd1c22b,0.7,244.99999999999997,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x246d34c5f0caa0c9dd46df33daad1f39ec958b98,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x415e6da1b71c55cea737d14ed07b42ad692b5b6e,0.3,105,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x1c83f44c970882806630fc00639e104dd1dba825,3.2797500000000004,1147.9125000000001,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x526a1b6efe1e115fd5ae265ef7d7764ca192218d,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6171c39340dcde3727e932b82ea4ca7e1b2b796e,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x1de4704209b50290fa6d537bee123034aa21c168,0.42700000000000005,149.45000000000002,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xbf1ff9528b44094e8054035f2f3aef5a30cdfcef,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x080061ff771d2344954f588b984e746b9fb5a244,0.5,175,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x498e511c308ccf99bd369d5794867b85913f4fc8,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xb919246d186afbda5c1fee51a3619eb115f8cc68,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xea53c11fbf846f9e89f86bfc20ca587bb762b42e,0.7,244.99999999999997,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x4d6f345378dcc9f1390294854a6d01821829228c,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x032c52e75358944a923dd1ebe9578b13a1f53500,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x95056124b98e463c8954bfee29469ddd4ef9bcf5,0.12,42,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x7b4611153f548a4ca3c855c1e03c58cc49983d2b,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xb6e035057ae343f07a5e317ced3c2a46429deb60,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x68c2ddae5193507106ff4996457a9ccafa33bd82,1.24,434,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x0789928c5ef329802637a710871a662e855ca23e,3.0135,1054.7250000000001,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x355317b8ffa784cba6519454f47ba3ab447a3dcf,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x52ee3cc93c6195dfffa39b9d837dafa253077f78,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x1ece81197b4d9dc86bbb64711e6a0b8cc7a2d4e7,0.71,248.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xa7fe842660ace5db0d30f3f9284c34be378a527e,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x756ea9ae4866b962326d588cdf39d558e671df61,0.5,175,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xb85b0f6c99415155deacd3463befceae2e8365fb,0.15,52.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6a67545884307524436203c1bee87cb723a33c02,0.5,175,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd5d9944d77a697b05b3b82af52ba6779efde653d,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x184e8ae7b0b85d6a8a9993b15f2c7b918eaf4ee9,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x5057ec59a521f6eb744c205af05cb11b319f8806,0.7963,278.705,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xf07af95a7cd5c0e799a2e47cff78b66924a146e9,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x2bad2f955551c4971582917e0aa3599584c23bf5,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x87c761312925ab5dd8bfba2c3f5d0e1fd6e40c02,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x3b04e36a67bb610ea22a053a34d5d1186524e8d5,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xc52268ff6d22e5e5aa4068507e6360dafebc01be,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x1fb667597f6724e3d7e091c8ff752974831097d5,0.431,150.85,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x0db2555d3481739bb794caf0fc1c80fa53a67b93,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x57594e7dd91627c905c8aa402210151b48696d1f,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x1f56cdc4639d990f0d5468bff2f84c095b420e15,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xcc329ab95f437d794eeedad5cc3b6c9349a29489,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x64093684ed268073a7ed2904e657b885ed2322db,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x67f5975aad8ef28ed30c044c06b56c92703aa8da,0.43,150.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xa3a1cea564c03f2f74e7a5464ee0c5d1638c28f3,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x67acb72ea79131bb6061470413221b3584fce640,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x9855c0e4de029167366be3e7c18ac26baf4771af,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6fc8b854d8c1d39131bec64758bae72278ba4f3e,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x82fc114491b84a337eb6abf8ee016095d664efa0,0.075,26.25,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x5a1d6292c6ea1ff35c80700df68336cc09bc8a91,1,350,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x294545af9f2828fadb73f4d9df8a896ee6a84e9d,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x3cbd3d635ebfc6dc3dc3e3a71e2b36123b66e891,0.6000000000000001,210.00000000000003,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x41384b77265b031f34a51b97048674c86836c109,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xc8427c8a4c45ed909230cf4e9363eef7d5bcb703,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xc4b3aafff293b99f5d26beee57dde3df83f458a1,0.44,154,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x22c7933d254646088a585192de7ac3a9aaa21422,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xf920aa82abd9a6c020226746126d07ade50814d3,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xf3c0a03fff96dc08d1ca1f5204c717654c51cfd6,0.6,210,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x2393ffe00830c551d25b2b1de8ea4d0a10591919,0.79815,279.3525,0